Australia,Victoria,NorthWest,Arapiles,BushrangerBluff,BackWall,★ Tullah's Tease,Trad,7,gb1,"-36.76657, 141.84635"
Australia,Victoria,NorthWest,Arapiles,BushrangerBluff,BackWall,★ Rubbery Under Arms,Trad,16,gb2,"-36.76657, 141.84635"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Pot Boiler,Trad,16,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Tonic,Trad,17,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Pot Boiler Right Hand Variant,Trad,17,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ The Ferrets Are Coming,Trad,21 R,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Craddock Crack,Trad,9,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Raiders of the Lost Crack,Trad,18,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Kristies Finger,Trad,10,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Sunny Gully,Trad,2,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Marshmallow Sea DS,Trad,8,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Marshmallow Sea,Trad,7,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Deck Gully,Trad,2,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Brit Milah,Mixed,20,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ All Decked Out,Mixed,27,gb4,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Deck Games,Mixed,25,gb4,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,New Wave Winos,Trad,26,gb4,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Scorpio,Trad,24,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★ Sagittarian,Mixed,23,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Sagittarian Variant Start,Mixed,21,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ New Wave Wanks,Trad,22,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Slip Knot,Trad,19 R,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,Taya,Trad,7,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Hammer,Trad,4,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Sickle,Trad,9,gb1,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★ Marmot's Mall,Trad,16 R,gb2,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★★ Little Thor,Trad,20 R,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★ Little Thor Direct Finish,Mixed,23,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★★ Steps Ahead,Sport,29,gb4,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★★ Hit the Deck,Sport,26,gb4,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Look Sharp,Mixed,24,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ A New Toy,Mixed,22,gb3,"-36.76684, 141.85182"
Australia,Victoria,NorthWest,Arapiles,DeclarationCragArea,DeclarationCrag,★ Remembrance Day,Mixed,24,gb3,"-36.76684, 141.85182"
